title,price,status,brand,shortDescription,processorBrand,processorModel,displaySize,ram,ramType,storageCapacity
"MSI Cyborg 15 A12UCX Core i5 12th Gen RTX 2050 4GB Graphics 8GB RAM 15.6"" FHD Gaming Laptop","105,000৳",In Stock,MSI,"['MPN: 9S7-15K111-666', 'Model: Cyborg 15 A12UCX', 'Processor: Intel Core i5-12450H (12M Cache, 3.30 GHz up to 4.40 GHz)', 'RAM: 8GB DDR5 4800MHz, SSD: 512GB', 'Graphics: RTX 2050, GDDR6 4GB', 'Features: Backlit Keyboard, Type-C']",Intel,Core i5-12450H,15.6 Inch,8GB,DDR5,512GB
"ASUS Vivobook 16X OLED M1603QA Ryzen 5 5600H 16"" 4K Laptop","108,000৳",In Stock,Asus,"['MPN: M1603QA-L2138W', 'Model: Vivobook 16X OLED M1603QA', 'Processor: Ryzen 5 5600H (L2 3MB & L3 16MB Cache, 3.3GHz Up to 4.2GHz)', 'RAM: 8GB DDR4, Storage: 512GB SSD', 'Display: 16"" 4K (3840 x 2400) OLED', 'Features: Backlit Chiclet Keyboard, Type-C']",AMD,Ryzen 5 5600H,16-inch,8GB,DDR4,512GB
"Asus ZenBook 14 UX425EA Intel Core i5 1135G7 11th Gen 14"" FHD WV Laptop","109,000৳",In Stock,Asus,"['MPN: KI355W-UX425EA', 'Model: ZenBook 14 UX425EA', 'Processor: Intel Core i5-1135G7 (8M Cache, 2.40 GHz up to 4.20 GHz)', 'RAM: 8GB DDR4 2666MHz, Storage: 512GB SSD', 'Display: 14"" FHD (1920 x 1080) LED', 'Features: Backlit Keyboard']",Intel,Core i5-1135G7,"14""",8GB,DDR4,512GB SSD
"HP 15-fd0211TU Core i7 13th Gen 15.6"" FHD Laptop","107,800৳",In Stock,HP,"['MPN: 97W21PA', 'Model: 15-fd0211TU', 'Processor: Intel Core i7-1355U (up to 5.0GHz, 12 MB L3 cache)', 'RAM: 8 GB DDR4 3200MHz, Storage: 512GB PCIe M.2 SSD', 'Display: 15.6"" FHD (1920 x 1080)', 'Features: Backlit Keyboard, Wi-Fi 6, Privacy Shutter, Mic Mute Key']",Intel,Core i7-1355U,15.6 Inch,8GB,DDR4,512GB
"Acer Aspire 7 A715-51G Core i5 12th Gen RTX 3050 4GB Graphics 15.6"" FHD Gaming Laptop","111,500৳",In Stock,Acer,"['MPN: NH.QGCSI.001', 'Model: Aspire 7 A715-51G', 'Processor: Intel Core i5-1240P Processor (12M Cache, up to 4.40 GHz)', 'RAM: 8GB DDR4, Storage: 512GB SSD', 'Graphics: GeForce RTX 3050 4GB', 'Features: Backlit Keyboard, Type-C']",Intel,Core i5-1240P,15.6 Inch,8GB (4GBx2),DDR4,512 GB
"Apple MacBook Air 13.3-Inch Retina Display 8-core Apple M1 chip with 8GB RAM, 256GB SSD (MGN63) Space Gray","106,000৳112,000৳",In Stock,Apple,"['MPN: MGN63', 'Model: MacBook Air 13"" M1 Chip', 'Processor: Apple M1 chip with 8-core CPU and 7-core GPU', 'RAM: 8GB, Storage: 256GB SSD', 'Display: 13.3-inch 2560x1600 LED-backlit Retina', 'Features: Backlit Magic Keyboard']",Apple,M1 chip,13.3-inch,8GB,Unified memory,256GB
"Asus VivoBook 15 X513EP Core i7 11th Gen MX330 2GB Graphics 15.6"" FHD Laptop With Windows 11","112,000৳",In Stock,Asus,"['MPN: BQ896W-X513EP', 'Model: VivoBook 15 X513EP', 'Processor: Intel Core i7-1165G7 (12M Cache, 2.80 GHz up to 4.70 GHz, with IPU)', 'RAM: 8GB DDR4 (ON BOARD), Storage: 512GB M.2 SSD', 'Graphics: GeForce MX350 2GB Graphics', 'Features: Backlit keyboard, Type-C']",Intel,Core i7-1165G7,"15.6""",8GB,DDR4,512GB
"ASUS VivoBook Pro 15 K3500PA Core i7 11th Gen 15.6"" FHD Laptop","112,000৳115,000৳",In Stock,Asus,"['MPN: KJ137T', 'Model: VivoBook Pro 15 K3500PA', 'Intel Core i7-11370H Processor (12M Cache, 3.30 GHz up to 4.80 GHz)', 'RAM: 8GB DDR4 Storage: 512GB SSD', 'Display: 15.6"" (1920x1080) FHD', 'Features: Backlit Keyboard, Fingerprint, Type-C']",Intel,Core i7-11370H,15.6 Inch,8GB (On Board),DDR4,512GB
"Lenovo Yoga 6 13ABR8 Ryzen 5 7530U 13.3"" FHD Touch Laptop","114,500৳",In Stock,Lenovo,"['MPN: 83B2005PLK', 'Model: Yoga 6 13ABR8', 'AMD Ryzen 5 7530U (2.0 GHz UP to 4.5 GHz)', '16GB RAM + 512GB NVMe SSD', '13.3"" FHD (1920x1080) Multitouch Display', 'Fingerprint Reader, Windows 11 Home']",AMD,Ryzen 5 7530U,13.3 Inch,"16GB soldered memory, not upgradable",NVMe SSD,512GB
"ASUS TUF Gaming F15 FX507ZC4 Core i5 12th Gen RTX 3050 4GB Graphics 15.6"" FHD Gaming Laptop","115,900৳",In Stock,Asus,"['MPN: FX507ZC4-HN081W', 'Model: TUF Gaming F15 FX507ZC4', 'Processor: Intel Core i5-12500H (18M Cache, up to 4.50 GHz)', 'RAM: 8GB DDR4, Storage: 512GB SSD', 'Graphics: RTX 3050 4GB GDDR6', 'Features: Backlit Keyboard 1-Zone RGB, Type-C']",Intel,Core i5-12500H,15.6-inch,8GB,DDR4,512GB
"Acer Nitro 5 AN515-58-59JP Core i5 12th Gen RTX 3050 4GB Graphics 15.6"" FHD 144Hz Gaming Laptop","117,000৳",In Stock,Acer,"['MPN: NH.QFHSI.008', 'Model: Nitro 5 AN515-58-59JP', 'Processor: Intel Core i5-12450H (12M Cache, 3.30 GHz up to 4.40 GHz)', 'RAM: 8GB DDR4, Storage: 512GB SSD', 'Graphics: GeForce RTX 3050 4GB GDDR6', 'Features: Backlit Keyboard, Type-C, Wi-Fi 6']",Intel,Core i5-12450H,15.6 Inch,8GB,DDR4,512GB SSD
"HP ProBook 440 G9 Core i7 12th Gen 14"" FHD Laptop","117,500৳",In Stock,HP,"['MPN: 7Z256PA', 'Model: ProBook 440 G9', 'Processor: Intel Core i7-1255U (12M Cache, up to 4.70 GHz)', 'RAM: 8GB RAM, Storage: 512GB SSD', 'Display: 14"" FHD (1920 x 1080)', 'Features: Fingerprint , Stereo Speakers, Type-C']",Intel,Core i7-1255U,14 Inch,8GB,DDR4,512GB
"Lenovo IdeaPad Gaming 3i Core i7 11th Gen GTX 1650 4GB Graphics 15.6"" FHD Laptop","118,000৳",In Stock,Lenovo,"['MPN: 82K100WFIN', 'Model: IdeaPad Gaming 3i', 'Processor: Intel Core i7-11370H (12M Cache, 3.30 GHz up to 4.80 GHz, with IPU)', 'Memory: 16GB DDR4 3200MHz RAM Storage: 256GB SSD + 1TB HDD', 'Graphics: NVIDIA GeForce GTX 1650 4GB Graphics', 'Features: Backlit keyboard, Type-C']",Intel,Core i7-11370H,15.6 Inch,16 GB,DDR4,"256GB SSD
1TB HDD"
"Lenovo IdeaPad Gaming 3i Core i7 11th Gen GTX 1650 4GB Graphics 15.6"" FHD Laptop With 3 Years Warranty","118,000৳",In Stock,Lenovo,"['MPN: 82K100WFIN', 'Model: IdeaPad Gaming 3i', 'Processor: Intel Core i7-11370H (12M Cache, 3.30 GHz up to 4.80 GHz, with IPU)', 'Memory: 16GB DDR4 Storage: 256GB SSD + 1TB HDD', 'Graphics: NVIDIA GeForce GTX 1650 4GB Graphics', 'Features: Backlit keyboard, Type-C']",Intel,Core i7-11370H,15.6 Inch,16 GB,DDR4,"256GB SSD
1TB HDD"
"Asus VivoBook 15 S513EQ Core i7 11th Gen MX350 2GB Graphics 15.6"" FHD OLED Laptop","115,000৳",In Stock,Asus,"['MPN: L1659W-S513EQ', 'Model: VivoBook 15 S513EQ', 'Processor: Intel Core i7-1165G7 (12M Cache, 2.80 GHz up to 4.70 GHz)', 'RAM: 8GB DDR4 (ONBOARD), Storage: 512GB M.2 SSD', 'Graphics: GeForce MX350 2GB Graphics', 'Features: Fingerprint sensor, Type-C']",Intel,Core i7-1165G7,15.6 Inch,8GB (Onboard),DDR4,512GB
"Lenovo IdeaPad Flex 5 14IAU7 Core i5 12th Gen 14"" WUXGA Touch Laptop","118,000৳",In Stock,Lenovo,"['MPN: 82R700J7IN', 'Model: IdeaPad Flex 5 14IAU7', 'Processor: Intel Core i5-1235U (12M Cache, 3.3 GHz up to 4.4 GHz)', 'Ram: 16GB LPDDR4x-4266, Storage: 512GB M.2 PCIe Gen4 SSD', 'Display: 14"" WUXGA (1920x1200) IPS', 'Features: Backlit Keyboard, Fingerprint, Touch, Privacy Shutter']",Intel,Core i5-1235U,14-Inch,16GB (On-Board),LPDDR4x,512GB
"HP ProBook 450 G10 Core i7 13th Gen 15.6"" FHD Laptop","118,500৳",In Stock,HP,"['MPN: 843Z5PA', 'Model: ProBook 450 G10', 'Processor: Intel Core i7-1355U (up to 5.0GHz, 12 MB L3 cache)', 'RAM: 8 GB DDR4 3200MHz, Storage: 512GB PCIe SSD', 'Display: 15.6"" FHD (1920 x 1080) IPS', 'Features: Type-C, Fingerprint, Backlit Keyboard, Wi-Fi 6E']",Intel,Core i7-1355U,15.6 Inch,8GB,DDR4,512GB
"Asus VivoBook 15 S513EQ Core i7 11th Gen MX350 2GB Graphics 15.6"" FHD Laptop","119,000৳",In Stock,Asus,"['MPN: L1732W', 'Model: VivoBook 15 S513EQ', 'Processor: Intel Core i7-1165G7 (12M Cache, 2.80 GHz up to 4.70 GHz)', 'RAM: 8GB DDR4 (ONBOARD), Storage: 512GB M.2 SSD', 'Graphics: GeForce MX350 2GB Graphics', 'Features: Backlit Keyboard, Fingerprint sensor, Type-C']",Intel,Core i7-1165G7,15.6 Inch,8GB (Onboard),DDR4,512GB
"Lenovo IdeaPad Slim 5i Pro Core i5 11th Gen MX450 2GB Graphics 16"" Laptop With 3 Years Warranty","121,000৳",In Stock,Lenovo,"['MPN: 82L9009YIN', 'Model: IdeaPad Slim 5i Pro', 'Processor: Intel Core i5-11300H (8M Cache, 3.10 GHz up to 4.40 GHz)', 'RAM: 16GB, Storage: 512GB SSD', 'Graphics: NVIDIA GeForce MX450 2GB GDDR6', 'Features: Backlit Keyboard, Dolby Audio, Type-C Charging']",Intel,Core i5-11300H,16 Inch,1 x 16GB Removable,DDR4,512GB
"Asus TUF Gaming A17 FA706ICB Ryzen 5 4600H RTX 3050 4GB Graphics 17.3"" FHD Gaming Laptop","121,000৳",In Stock,Asus,"['MPN: FA706ICB-HX076W', 'Model: TUF Gaming A17 FA706ICB', 'Processor: AMD Ryzen 5 4600H (8MB Cache, 3.0GHz up to 4.0GHz)', 'RAM: 8GB DDR4, Storage: 512GB SSD', 'Graphics: Nvidia RTX 3050 4GB', 'Features: Backlit Keyboard, Type-C']",AMD,Ryzen 5 4600H,"17.3""",8GB,DDR4,512GB
"Lenovo IdeaPad Gaming 3i Core i5 12th Gen RTX 3050 4GB Graphics 16"" 2K WUXGA Laptop","124,000৳",In Stock,Lenovo,"['MPN: 82SA00B0IN', 'Model: IdeaPad Gaming 3i', 'Processor: Intel Core i5-12450H (12M Cache, 3.30 GHz up to 4.40 GHz)', 'RAM: 16GB DDR4 3200MHz, Storage: 512GB NVMe SSD', 'Graphics: RTX 3050 4GB GDDR6', 'Features: 2W x2 Stereo speakers, Privacy Shutter']",Intel,Core i5-12450H,"16""",16GB (2 x 8GB),DDR4,512GB
GIGABYTE G5 MF Core i5 12th Gen RTX 4050 6GB Graphics 15.6'' FHD 144Hz Gaming Laptop,"121,000৳124,000৳",In Stock,GIGABYTE,"['Model: G5 MF', 'Processor: Intel Core i5-12500H Processor (18M Cache, up to 4.50 GHz)', 'RAM: 8GB DDR4 3200MHz , Storage: 512GB SSD', 'Graphics: GeForce RTX 4050 6GB GDDR6', 'Features: 144Hz Refresh Rate, Backlit keyboard, Type-C']",Intel,Core i5-12500H,15.6 Inch,8GB,DDR4,512GB SSD
"ASUS VivoBook S 14 Flip TP3402VA Core i5 13th Gen 14"" WUXGA Touch Laptop","124,000৳",In Stock,Asus,"['MPN: TP3402VA-LZ136W', 'Model: VivoBook S 14 Flip TP3402VA', 'Processor: Intel Core i5-1335U (12MB Cache, up to 4.6 GHz)', 'RAM: 16GB DDR4, Storage: 512GB SSD', 'Display: 14-inch, WUXGA (1920 x 1200) IPS', 'Features: Privacy Shutter, Type-C, Wi-Fi 6E']",Intel,Core i5-1335U,14 Inch,16GB (8GB + 8GB On-Board),DDR4,512GB
"Microsoft Surface Laptop Go 3 Core i5 12th Gen 12.4"" QHD Multi-Touch Laptop (XK1-00006)","119,000৳",In Stock,Microsoft,"['MPN: XK1-00006', 'Model: Surface Laptop Go 3', 'Processor: Intel Core i5-1235U (12M Cache, 1.30 GHz, up to 4.40 GHz)', 'RAM: 8GB LPDDR5X, Storage: 256GB SSD', 'Display: 12.4"" PixelSense Multi-Touch', 'Features: Ambient light sensor, Type-C']",Intel,Core i5-1235U,12.4 Inch,1 x 8GB Non-Removable,LPDDR5,256GB
"HP Pavilion 15-eg3040TX Core i7 13th Gen MX550 2GB Graphics 15.6"" FHD Laptop","125,500৳",In Stock,HP,"['MPN: 9B309PA', 'Model: Pavilion 15-eg3040TX', 'Processor: Intel Core i7-1355U (up to 5.0GHz, 12 MB L3 cache)', 'RAM: 8 GB DDR4 3200MHz, Storage: 512GB PCIe M.2 SSD', 'Graphics: NVIDIA GeForce MX550 2GB GDDR6', 'Features: Backlit Keyboard, Wi-Fi 6, USB Type C']",Intel,Core i7-1355U,15.6 Inch,8GB,DDR4,512GB
"Asus ZenBook 14 UM3402YA Ryzen 7 5825U 14"" WQXGA Laptop","129,000৳",In Stock,Asus,"['MPN: UM3402YA-KP301W', 'Model: ZenBook 14 UM3402YA', 'Processor: AMD Ryzen 7 5825U (2.0GHz Up to 4.5GHz, Core 8, Threads 16)', 'RAM: 16GB, Storage: 512GB SSD', 'Display: 14"" WQXGA (2560X1600)', 'Features: Backlit Keyboard, Type-C']",AMD,Ryzen 7 5825U,14 Inch,16GB (On Board),LPDDR4x,512GB
"Lenovo LOQ 15IRH8 Core i5 13th Gen RTX 2050 4GB Graphics 15.6"" FHD 144Hz Gaming Laptop","120,000৳",In Stock,Lenovo,"['MPN: 82XV00SGLK', 'Model: LOQ 15IRH8', 'Processor: Intel Core i5-13420H (12M Cache, 3.4 GHz up to 4.6 GHz)', 'Ram: 16GB DDR5-5200, Storage: 512GB M.2 PCIe 4.0x4 NVMe SSD', 'Graphics: GeForce RTX 2050 4GB GDDR6, Boost Clock 1575MHz', 'Features: White Backlit, Type-C, E-Shutter, LA1 AI Chip']",Intel,Core i5-13420H,15.6-inch,16GB (2x 8GB),DDR5,512GB
"Lenovo LOQ 15IRH8 Core i5 13th Gen RTX 3050 6GB Graphics 15.6"" FHD Gaming Laptop","128,000৳",In Stock,Lenovo,"['MPN: 82XV00S7LK', 'Model: LOQ 15IRH8', 'Processor: Intel Core i5-13420H (12M Cache, 3.4 GHz up to 4.6 GHz)', 'Ram: 16GB DDR5-5200, Storage: 512GB M.2 PCIe 4.0x4 NVMe SSD', 'Graphics: NVIDIA GeForce RTX 3050 6GB GDDR6, Boost Clock 1732MHz', 'Features: White Backlit, Type-C, E-Shutter, LA1 AI Chip']",Intel,Core i5-13420H,15.6-inch,16GB (2x 8GB),DDR5,512GB
"MSI Cyborg 15 A12VE Core i5 12th Gen RTX 4050 6GB Graphics 15.6"" FHD Gaming Laptop","129,500৳",In Stock,MSI,"['MPN: A12VE-258BD', 'Model: Cyborg 15 A12VE', 'Processor: Intel Core i5-12450H (12M Cache, 3.30 GHz up to 4.40 GHz)', 'RAM: 16GB DDR5 4800MHz, SSD: 512GB', 'Graphics: RTX 4050, GDDR6 6GB', 'Features: Backlit Keyboard, Type-C']",Intel,Core i5-12450H,15.6 Inch,16GB (8GBx2),DDR5,512GB
"ASUS TUF Gaming F15 FX506HF Core i7 11th Gen RTX 3050Ti 4GB Graphics 15.6"" FHD Gaming Laptop","129,900৳",In Stock,Asus,"['MPN: FX506HE-HN018W', 'Model: TUF Gaming F15 FX506HF', 'Processor: Intel Core i7-11800H (24M Cache, 2.30 GHz up to 4.60 GHz)', 'RAM: 8GB DDR4, Storage: 512GB SSD', 'Graphics: RTX 3050Ti 4GB GDDR6', 'Features: Backlit Keyboard, Type-C']",Intel,Core i7-11800H,15.6-inch,8GB,DDR4,512GB
"ASUS TUF Gaming F15 FX507ZC4 Core i7 12th Gen RTX 3050 4GB Graphics 15.6"" FHD Gaming Laptop","131,900৳",In Stock,Asus,"['MPN: FX507ZC4-HN060W', 'Model: TUF Gaming F15 FX507ZC4', 'Processor: Intel Core i7-12700H (24M Cache, 3.50 GHz up to 4.70 GHz)', 'RAM: 8GB DDR4, Storage: 512GB SSD', 'Graphics: RTX 3050 4GB GDDR6', 'Features: Backlit Keyboard 1-Zone RGB, Type-C']",Intel,Core i7-12700H,15.6-inch,8GB,DDR4,512GB
"ASUS Vivobook Pro 15 M3500QC Ryzen 5 5600H RTX 3050 4GB Graphics 15.6"" FHD Laptop","129,000৳132,000৳",In Stock,Asus,"['MPN: KJ376W/KJ435W', 'Model: Vivobook Pro 15 M3500QC', 'Processor: AMD Ryzen 5 5600H (L2 3MB & L3 16MB Cache, 3.3GHz Up to 4.2GHz)', 'Memory: 16GB DDR4, Storage: 512GB SSD', 'Graphics: NVIDIA GeForce RTX 3050 4GB', 'Feature: Fingerprint, Backlit Keyboard']",AMD,Ryzen 5 4600H,15.6-inch,16GB On Board,DDR4,512GB SSD
"MSI Sword 15 A12UCX Core i5 12th Gen RTX 2050 4GB Graphics 15.6"" FHD Gaming Laptop","134,000৳",In Stock,MSI,"['Model: Sword 15 A12UCX', 'Processor: Intel Core i5-12450H (12M Cache, 3.30 GHz up to 4.40 GHz)', 'RAM: 8GB DDR5, Storage: 512GB SSD', 'Graphics: RTX 2050 4GB GDDR6', 'Features: 15.6"" 144Hz Display, Backlit Keyboard']",Intel,Core i5-12450H,15.6 inch,8GB,DDR5,512GB
GIGABYTE G5 KF Core i5 12th Gen RTX 4060 8GB Graphics 15.6'' FHD 144Hz Gaming Laptop,"129,500৳135,000৳",In Stock,GIGABYTE,"['Model: G5 KF', 'Processor: Intel Core i5-12500H Processor (18M Cache, up to 4.50 GHz)', 'RAM: 8GB DDR4 3200MHz , Storage: 512GB SSD', 'Graphics: GeForce RTX 4060 8GB GDDR6', 'Features: 144Hz Refresh Rate, Backlit keyboard, Type-C']",Intel,Core i5-12500H,15.6 Inch,8GB,DDR4,512GB SSD
"Asus TUF Dash F15 FX517ZC Core i5 12th Gen RTX 3050 4GB Graphics 15.6"" FHD Gaming Laptop","139,000৳",In Stock,Asus,"['MPN: FX517ZC-HN149W', 'Model: TUF Dash F15 FX517ZC', 'Processor: Intel Core i5-12450H (12M Cache, 3.30 GHz up to 4.40 GHz)', 'RAM: 8GB DDR5 4800MHz, Storage: 512GB SSD', 'Graphics: RTX 3050 4GB GDDR6', 'Features: Backlit Keyboard, Type-C']",Intel,Core i5-12450H,15.6 Inch,8GB,DDR5,512GB
"MSI Katana 15 B12UDXK Core i5 12th Gen RTX 3050 4GB Graphics 15.6"" FHD Gaming Laptop","139,000৳",In Stock,MSI,"['Model: Katana 15 B12UDXK', 'Processor: Intel Core i5-12450H (12M Cache, 3.30 GHz up to 4.40 GHz)', 'RAM: 16GB DDR5 4800MHz, SSD: 1TB NVMe PCIe Gen4', 'Graphics: Nvidia RTX 3050 4GB GDDR6', 'Features: Backlight Keyboard, Type-C']",Intel,Core i5-12450H,15.6 Inch,16GB (8GBx2),DDR5,1TB
"Thunderobot 911MT Core i5 12th Gen RTX 3060 6GB Graphics 15.6"" FHD 144Hz Gaming Laptop","122,900৳139,000৳",In Stock,Thunderobot,"['Model: 911MT', 'Processor: Intel Core i5-12450H (12M Cache, 3.30 GHz up to 4.40 GHz)', 'RAM: 16GB DDR4 3200MHz , Storage: 512GB SSD', 'Graphics: GeForce RTX 3060 GPU 6GB GDDR6', 'Features: Backlit Keyboard, 144Hz, Type C']",Intel,Core i5-12450H,15.6-inch,16GB,DDR4,512GB
"ASUS Vivobook Pro 15 M3500QC Ryzen 7 5800H RTX 3050 4GB Graphics 15.6"" FHD Laptop","136,500৳139,500৳",In Stock,Asus,"['MPN: KJ374W/KJ434W', 'Model: Vivobook Pro 15 M3500QC', 'Processor: Ryzen 7 5800H (8-core, 16-thread, 20MB cache, up to 4.4 GHz)', 'RAM: 16GB DDR4, Storage: 512GB SSD', 'Graphics: GeForce RTX 3050 4GB GDDR6', 'Features: Backlit Keyboard, Fingerprint, Type-C']",AMD,Ryzen 7,"15.6""",16GB,DDR4,512GB
"Lenovo IdeaPad Slim 5 16IRL8 Core i7 13th Gen 16"" WUXGA Military Grade Laptop","140,000৳",In Stock,Lenovo,"['MPN: 82XF006QLK', 'Model: IdeaPad Slim 5 16IRL8', 'Processor: Intel Core i7-13700H (24M Cache, 3.70 GHz up to 5.0 GHz)', 'Ram: 16GB LPDDR5-5200, Storage: 512GB M.2 PCIe Gen4 SSD', 'Display: 16"" WUXGA (1920x1200) IPS', 'Features: Backlit Keyboard, Type-C, Privacy Shutter']",Intel,Core i7-13700H,16-Inch,16GB (On-Board),LPDDR5,512GB
"ASUS TUF Gaming A15 FA507RE Ryzen 7 6800H RTX 3050 Ti 4GB Graphics 15.6"" FHD Gaming Laptop","142,900৳",In Stock,Asus,"['MPN: HF045W', 'Model: TUF Gaming A15 FA507RE', 'Processor: AMD Ryzen 7 6800H (16M Cache, 3.2 GHz up to 4.7 GHz)', 'RAM: 16GB DDR5, Storage: 512GB SSD', 'Graphics: RTX 3050 Ti 4GB', 'Features: Backlit Keyboard, 300Hz Display, Type-C']",AMD,Ryzen 7 6800H,15.6-inch,16GB,DDR5,512GB
"ASUS Vivobook S 16 Flip OLED TN3604YA Ryzen 7 7730U 16"" 3.2K Touch Laptop","142,900৳",In Stock,Asus,"['MPN: TN3604YA-MY040W', 'Model: Vivobook S 16 Flip OLED TN3604YA', 'Processor: AMD Ryzen 7 7730U (8-core/16-thread, 16MB cache, up to 4.5 GHz)', 'RAM: 16GB DDR4, Storage: 512GB SSD', 'Display: 16"" 3.2K (3200 x 2000) OLED Touch screen', 'Features: Backlit Keyboard, Fingerprint, Type-C']",AMD,Ryzen 7 7730U,16-inch,16GB,DDR4,512GB
"Lenovo ThinkPad P14s Gen 2 Core i5 11th Gen 14"" FHD Business Laptop","143,000৳",In Stock,Lenovo,"['Model: ThinkPad P14s Gen 2', 'Processor: Intel Core i5-1135G7 (8M Cache, 2.40 GHz up to 4.20 GHz)', 'RAM: 8GB RAM, Storage: 512GB SSD', 'Display: 14"" FHD (1920 x 1080)', 'Features: LED Backlight, Fingerprint']",Intel,Core i5-1135G7,14 Inch,8GB,DDR4,512GB
"Microsoft Surface Pro 9 Core i5 12th Gen 13"" Multi-Touch Laptop (QEZ-00035)","143,000৳",In Stock,Microsoft,"['MPN: QEZ-00035', 'Model: Surface Pro 9', 'Processor: Intel Core i5-1235U (12M Cache, 1.30 GHz, up to 4.40 GHz)', 'RAM: 8GB LPDDR5, Storage: 256GB SSD', 'Display:13"" (2880 x 1920) PixelSense Flow MultiTouch', 'Features: Thunderbolt 4']",Intel,Core i5-1235U,13 Inch,8GB,LPDDR5,256GB
"ASUS TUF Gaming A15 FA507RC Ryzen 7 6800H RTX 3050 4GB Graphics 15.6"" FHD Gaming Laptop","144,000৳",In Stock,Asus,"['MPN: FA507RC-HN059W', 'Model: TUF Gaming A15 FA507RC', 'Processor: AMD Ryzen 7 6800H (16M Cache, 3.2 GHz up to 4.7 GHz)', 'RAM: 8GB DDR5 4800MHz, Storage: 512GB SSD', 'Graphics: RTX 3050 4GB', 'Features: Backlit Keyboard, Type-C']",AMD,Ryzen 7 6800H,15.6-inch,8GB,DDR5,512GB
"Microsoft Surface Laptop 5 Core i5 12th Gen 8GB RAM 256GB SSD 13.5"" QHD Multi-Touch Laptop (QZI-00001)","144,000৳",In Stock,Microsoft,"['MPN: QZI-00001', 'Model: Surface Laptop 5', 'Processor: Intel Core i5-1235U (12M Cache, 1.30 GHz, up to 4.40 GHz)', 'RAM: 8GB LPDDR5X, Storage: 256GB SSD', 'Display: 13.5"" PixelSense Multi-Touch', 'Features: Ambient light sensor, Type-C']",Intel,Core i5-1235U,13.5 Inch,1 x 8GB Non-Removable,LPDDR5X,256GB
"ASUS Vivobook Pro 15 OLED M3500QC Ryzen 7 5800H RTX 3050 4GB Graphics 15.6"" FHD Laptop with Windows 11","141,000৳144,500৳",In Stock,Asus,"['MPN: L1373W-M3500QC', 'Model: Vivobook Pro 15 OLED M3500QC', 'Processor: AMD Ryzen 7 5800H (8-core, 16-thread, 20MB cache, up to 4.4 GHz)', 'RAM: 16GB DDR4, Storage: 512GB SSD', 'Graphics: GeForce RTX 3050 4GB GDDR6', 'Features: Backlit Keyboard, Fingerprint , Type-C']",AMD,Ryzen 7 5800H,"15.6""",16GB,DDR4,512GB
"Thunderobot 911X Core i5 13th Gen RTX 4050 6GB Graphics 15.6"" FHD 165Hz Gaming Laptop","144,900৳",In Stock,Thunderobot,"['Model: 911X', 'Processor: Intel Core i5-13500H (18M Cache, 3.40 GHz, up to 4.70 GHz)', 'RAM: 16GB DDR4 3200MHz , Storage: 512GB SSD', 'Graphics: NVIDIA GeForce RTX 4050 6GB GDDR6', 'Features: Backlit Keyboard , 165Hz, Type C']",Intel,Core i5-13500H,15.6-inch,16GB,DDR4,512GB
"GIGABYTE G5 KE Core i5 12th Gen RTX 3060 6GB Graphics 15.6"" FHD 144Hz Gaming Laptop","142,000৳146,000৳",In Stock,GIGABYTE,"['Model: G5 KE', 'Processor: Intel Core i5-12500H Processor (18M Cache, up to 4.50 GHz)', 'RAM: 8GB DDR4 3200MHz , Storage: 512GB SSD', 'Graphics: GeForce RTX 3060 GPU 6GB GDDR6', 'Features: 144Hz Refresh Rate, Type C']",Intel,Core i5-12500H,15.6 Inch,8GB,DDR4,512GB SSD
"GIGABYTE AORUS 15 9MF Core i5 12th Gen RTX 4050 6GB Graphics 15.6"" FHD 360Hz Gaming Laptop","142,500৳146,000৳",In Stock,GIGABYTE,"['Model: AORUS 15 9MF', 'Processor: Intel Core i5-12500H (18M Cache, up to 4.50 GHz)', 'RAM: 8GB DDR5 4800MHz, Storage: 512GB SSD', 'Graphics: RTX 4050 6GB GDDR6', 'Features: 360Hz Display, RGB Keyboard, Type-C']",Intel,Core i5-12500H,15.6 Inch,8GB,DDR5,512GB
"ASUS VivoBook 16X K3605ZF-MX041W Core i5 12th Gen 16"" OLED Laptop","148,000৳",In Stock,Asus,"['MPN: 90NB11E1-M001E0', 'Model: K3605ZF-MX041W', 'Processor: Intel Core i5-12500H (Up to 4.40 GHz)', 'RAM: 16GB DDR4, Storage: 512GB SSD', 'Graphics: Nvidia RTX 2050 Graphics 4GB', 'Features: Backlit Keyboard, Fingerprint, Type-C']",Intel,Core i5-12500H,16 Inch,16GB,DDR4,512GB
"ASUS Vivobook S 16X OLED M5602RA Ryzen 7 6800H 16"" OLED Laptop","149,000৳",In Stock,Asus,"['MPN: L2028W-M5602RA', 'Model: Vivobook S 16X OLED M5602RA', 'Processor: AMD Ryzen 7 6800H (16M Cache, 3.2 GHz up to 4.7 GHz)', 'RAM: 16GB DDR5, Storage: 512GB SSD', 'Display: 16"" OLED WQUXGA (3840 X 2400)', 'Features: Backlit Keyboard, Fingerprint , Type-C']",AMD,Ryzen 7 6800H,16-inch,16GB,DDR5,512GB
