title,price,status,brand,shortDescription,processorBrand,processorModel,displaySize,ram,ramType,storageCapacity
"Lenovo IdeaPad Gaming 3 15ARH7 Ryzen 7 7735HS RTX 4050 6GB Graphics 15.6"" FHD Laptop","149,000৳159,000৳",In Stock,Lenovo,"['MPN: 82SB00PKIN', 'Model: IdeaPad Gaming 3 15ARH7', 'Processor: AMD Ryzen 7 7735HS (3.2GHz up to 4.75GHz, 8 cores)', 'RAM: 16GB DDR5, Storage: 512GB SSD', 'Graphics: NVIDIA GeForce RTX 4050 6GB GDDR6', 'Features: Backlit Keyboard, Type-C']",AMD,Ryzen 7 7735HS,15.6 Inch,16GB,DDR5,512GB SSD
"Dell Latitude 3430 Core i7 12th Gen 14"" FHD Laptop","98,000৳",In Stock,Dell,"['Model: Latitude 3430', 'Processor: Intel Core i7-1255U (12MB Cache, Up to 4.70 GHz)', 'RAM: 8GB DDR4 RAM, Storage: 512GB SSD', 'Display: 14"" FHD (1920 x 1080)', 'Features: Type-C, Wi-Fi 6']",Intel,Core i7-1255U,14 inch,8GB,DDR4,512GB
"Lenovo IdeaPad Slim 5 14ABR8 Ryzen 5 7530U 14"" WUXGA Laptop","98,500৳99,500৳",In Stock,Lenovo,"['MPN: 82XE007FLK', 'Model: IdeaPad Slim 5 14ABR8', 'Processor: AMD Ryzen 5 7530U (2.0GHz up to 4.5GHz)', 'Ram: 16GB DDR4 3200 MHz, Storage: 512GB M.2 PCIe Gen4 SSD', 'Display: 14"" WUXGA (1920x1200) IPS', 'Features: Backlit Keyboard, Type-C, Privacy Shutter']",AMD,Ryzen 5 7530U,14-Inch,16GB,DDR4,512GB
"Lenovo IdeaPad Light 5 14ABR8 Ryzen 5 7530U 14"" FHD Laptop","105,500৳108,000৳",In Stock,Lenovo,"['MPN: 82XS0032LK', 'Model: IdeaPad Light 5 14ABR8', 'Processor: AMD Ryzen 5 7530U (2.0GHz up to 4.5GHz)', 'Ram: 16GB DDR4 3200 MHz, Storage: 512GB M.2 PCIe Gen4 SSD', 'Display: 14"" FHD (1920x1080) IPS', 'Features: Backlit Keyboard, Finger Print, Type-C, Privacy Shutter']",AMD,Ryzen 7 7530U,14-Inch,16GB,DDR4,512GB
"Lenovo IdeaPad Slim 5 16ABR8 Ryzen 7 7730U 16"" WUXGA Laptop","110,500৳114,500৳",In Stock,Lenovo,"['MPN: 82XG007PLK', 'Model: IdeaPad Slim 5 16ABR8', 'Processor: Processor: AMD Ryzen 7 7730U (8-core/16-thread, 16MB cache, up to 4.5 GHz)', 'Ram: 16GB DDR4, Storage: 512GB SSD', 'Display: 16"", WUXGA (1920x1200)', 'Features: Backlit Keyboard, HD Audio, IR with Privacy Shutter']",AMD,Ryzen 7 7730U,16 Inch,16GB,DDR4,512GB SSD
"Lenovo Yoga 6 13ABR8 Ryzen 7 7730U 13.3"" WUXGA Touch Laptop","115,500৳119,500৳",In Stock,Lenovo,"['MPN: 83B20079LK', 'Model: Yoga 6 13ABR8', 'Processor: AMD Ryzen 7 7730U', 'Ram: 16GB DDR4, Storage: 512GB SSD', 'Display: 13.3"", WUXGA (1920x1200)', 'Features: High Definition Audio, FHD 1080p + IR with Privacy Shutter']",AMD,Ryzen 7 7730U,13.3 Inch,16GB,LPDDR4x,512GB
"Dell Vostro 14 3420 Core i7 12th Gen MX550 2GB Graphics 14"" FHD Laptop","99,200৳",In Stock,Dell,"['Model: Vostro 14 3420', 'Processor: Intel Core i7-1255U (12MB Cache, Up to 4.70 GHz)', 'RAM: 8GB DDR4, Storage: 512GB M.2 SSD', 'Display: 14"" FHD (1920 x 1080) WVA', 'Graphics: NVIDIA GeForce MX550 2GB DDR5']",Intel,Core i7-1255U,14 inch,8GB,DDR4,512GB
"Lenovo Yoga 7 14ARP8 AMD Ryzen 7 7735U 14"" OLED WUXGA Touch Laptop","135,500৳140,000৳",In Stock,Lenovo,"['MPN: 82YM007XLK', 'Model: Yoga 7 14ARP8', 'Processor: AMD Ryzen 7 7735U (8-core, 16MB cache, 2.7 GHz up to 4.75GHz)', 'RAM: 16GB LPDDR5, Storage: 512GB SSD', 'Display: 14"" 2.8K (2880x1800) OLED Touch', 'Features: Backlit Keyboard, Type-C']",AMD,AMD Ryzen 7 7735U,"14""",16GB,LPDDR4x,512GB
"Lenovo LOQ 15APH8 Ryzen 7 7840HS RTX 4050 6GB Graphics 15.6"" FHD 144Hz Gaming Laptop","155,500৳160,000৳",In Stock,Lenovo,"['MPN: 82XT00C0LK', 'Model: LOQ 15APH8', 'Processor: Ryzen 7 7840HS (3.8GHz Up to 5.1GHz, 8 Cores, 16 Threads)', 'RAM: 16GB 5600MHz; Storage: 512GB SSD', 'Graphics: NVIDIA GeForce RTX 4050 6GB', 'Features: Backlit Keyboard, 144Hz Display, Type-C']",AMD,Ryzen 7 7840HS,"15.6""",16GB(8x2),DDR5,512GB
"Lenovo LOQ 15APH8 Ryzen 7 7840HS RTX 4060 8GB Graphics 15.6"" FHD 144Hz Gaming Laptop","168,500৳173,000৳",In Stock,Lenovo,"['MPN: 82XT00C1LK', 'Model: LOQ 15APH8', 'Processor: Ryzen 7 7840HS (3.8GHz Up to 5.1GHz, 8 Cores, 16 Threads)', 'RAM: 16GB 5600MHz; Storage: 512GB SSD', 'Graphics: NVIDIA GeForce RTX 4060 8GB', 'Features: Backlit Keyboard, 144Hz Display, Type-C']",AMD,Ryzen 7 7840HS,"15.6""",16GB(8x2),DDR5,512GB
